Ticker,Name,Market,Strategy,Timeframe,WinRate%,TotalRet%,ProfitFactor,Sharpe,Trades
000660,SK하이닉스,KR,FVG+OB★,4h,65.9,118.397,2.155,0.3351,220
000660,SK하이닉스,KR,FVG+OB,4h,61.3,109.14,1.459,0.1564,388
000660,SK하이닉스,KR,S19_Monday,4h,51.7,105.455,1.474,0.1532,120
005930,삼성전자,KR,S24_CHoCH,4h,70.4,96.125,3.086,0.4154,54
005930,삼성전자,KR,FVG+OB★,4h,56.1,86.482,1.912,0.2703,205
005930,삼성전자,KR,FVG+OB,4h,53.2,84.724,1.445,0.152,374
008060,대덕전자,KR,FVG+OB,4h,60.1,114.961,2.068,0.2896,336
008060,대덕전자,KR,FVG+OB★,4h,61.2,104.416,2.733,0.4076,206
008060,대덕전자,KR,S24_CHoCH,4h,58.5,71.468,2.733,0.3042,53
009150,삼성전기,KR,FVG+OB,4h,57.8,126.684,1.71,0.2307,379
009150,삼성전기,KR,FVG+OB★,4h,66.2,107.999,2.569,0.407,198
009150,삼성전기,KR,S24_CHoCH,4h,52.6,87.783,2.032,0.2294,57
034020,두산에너빌,KR,FVG+OB,4h,60.5,156.414,1.819,0.2615,392
034020,두산에너빌,KR,S24_CHoCH,4h,52.5,134.999,1.904,0.243,59
034020,두산에너빌,KR,FVG+OB★,4h,65.2,128.269,2.684,0.4361,201
AMD,AMD,US,FVG+OB,4h,61.7,145.453,1.655,0.2121,423
AMD,AMD,US,S24_CHoCH,4h,55.0,100.434,1.692,0.1861,60
AMD,AMD,US,S19_Monday,4h,47.7,87.113,1.481,0.1465,111
BTC,비트코인,CRYPTO,FVG+OB,4h,59.4,292.864,2.111,0.3129,905
BTC,비트코인,CRYPTO,FVG+OB★,4h,58.2,57.727,2.127,0.3156,158
BTC,비트코인,CRYPTO,S16_SMA_Rev,4h,65.8,43.691,2.286,0.3228,38
ETH,이더리움,CRYPTO,FVG+OB,4h,61.1,424.395,2.226,0.348,1005
ETH,이더리움,CRYPTO,FVG+OB,15m,48.2,63.915,1.644,0.1947,596
ETH,이더리움,CRYPTO,S19_Monday,4h,48.0,62.245,1.457,0.1315,100
NVDA,엔비디아,US,FVG+OB,4h,62.3,158.417,1.83,0.2472,395
NVDA,엔비디아,US,S10_MACDHist,4h,58.1,116.15,2.636,0.3693,62
NVDA,엔비디아,US,S09_MACD,4h,58.1,116.15,2.636,0.3693,62
PLTR,팔란티어,US,FVG+OB,4h,63.9,214.819,2.258,0.3599,388
PLTR,팔란티어,US,S19_Monday,4h,52.1,153.21,1.754,0.2224,117
PLTR,팔란티어,US,S20_InsideBar,4h,60.3,149.739,1.792,0.2016,121
SOL,솔라나,CRYPTO,FVG+OB,4h,62.5,457.679,2.273,0.358,1020
SOL,솔라나,CRYPTO,S21_Engulfing,4h,52.9,77.902,1.311,0.102,206
SOL,솔라나,CRYPTO,FVG+OB★,4h,65.4,77.87,2.758,0.448,136
SOXX,반도체ETF,US,FVG+OB,4h,55.1,89.253,1.448,0.1584,414
SOXX,반도체ETF,US,S17_FVG,4h,55.3,74.248,1.891,0.2534,76
SOXX,반도체ETF,US,S19_Monday,4h,44.7,56.49,1.448,0.1458,123
TSLA,테슬라,US,FVG+OB,4h,61.7,134.602,1.64,0.2095,397
TSLA,테슬라,US,S19_Monday,4h,43.6,95.542,1.489,0.1363,101
TSLA,테슬라,US,S17_FVG,4h,51.9,72.304,1.43,0.1331,79
XRP,리플,CRYPTO,FVG+OB,4h,61.5,373.645,2.23,0.3443,921
XRP,리플,CRYPTO,S21_Engulfing,4h,50.5,152.329,1.667,0.1509,216
XRP,리플,CRYPTO,S24_CHoCH,4h,46.6,126.067,1.542,0.145,131
